G,mention,to
KSI,KSI,42
R9Rai,R9Rai,47
CHIPFAT_,CHIPFAT_,49
Cian_1997,Cian_1997,46
BBCR1,BBCR1,46
LilTunechi,LilTunechi,28
producerSX,producerSX,26
AnneMarie,AnneMarie,26
reallorraine,reallorraine,24
MTVUK,MTVUK,24
RiceGum,RiceGum,23
sidemen,sidemen,26
kirstielouisee,kirstielouisee,23
LORDKIFORN,LORDKIFORN,23
jxck_yt,jxck_yt,23
agenious0123448,agenious0123448,23
KsiStatistics,KsiStatistics,23
xixvodka,xixvodka,39
Melvinodoom,Melvinodoom,23
hitsradiouk,hitsradiouk,23
PrincesTrust,PrincesTrust,23
Calfreezy,Calfreezy,24
eatsides,eatsides,29
khubebabbasi,khubebabbasi,23
thcwknd,thcwknd,23
emmalou25,emmalou25,23
MTV,MTV,23
migaladari,migaladari,23
JDOfficial,JDOfficial,23
TubboLive,TubboLive,23
Ray33k1,Ray33k1,23
mtvema,mtvema,23
Jacksepticeye,Jacksepticeye,23
primevideouk,primevideouk,23
filmusic_ksi,filmusic_ksi,23
CharlierWarner,CharlierWarner,23
DegenApeAcademy,DegenApeAcademy,23
21savage,21savage,6
1future,1future,6
hmvtweets,hmvtweets,3
KreekCraft,KreekCraft,3
denodriz,denodriz,5
sidemenupdated,sidemenupdated,3
AppleMusic,AppleMusic,3
Jay1Official_,Jay1Official_,3
Rich1738_,Rich1738_,3
TNLUK,TNLUK,2
RecordClubUK,RecordClubUK,2
ZerkaaHD,ZerkaaHD,13
A1xJ1,A1xJ1,2
AmazonMusicUK,AmazonMusicUK,2
JustaMinx,JustaMinx,2
Roblox,Roblox,2
TheBugzyMalone,TheBugzyMalone,2
Tobjizzle,Tobjizzle,9
SpotifyUK,SpotifyUK,1
YouTube,YouTube,1
tommyinnit,tommyinnit,1
Teeqo,Teeqo,1
LJxmes,LJxmes,1
CraigDavid,CraigDavid,1
ciarjenningsx,ciarjenningsx,1
amazonmusic,amazonmusic,1
Polo_Capalot,Polo_Capalot,1
Thafnine,Thafnine,1
ImAllexx,ImAllexx,2
DailyRapFacts,DailyRapFacts,1
CryptoCobain,CryptoCobain,1
philytaggart,philytaggart,1
twomad,twomad,1
lildurk,lildurk,1
Maxdenver0,Maxdenver0,1
youtubemusic,youtubemusic,1
ellabettles1,ellabettles1,1
ChalkysUK,ChalkysUK,1
UNILAD,UNILAD,1
itsbigzuu,itsbigzuu,1
recordclubuk,recordclubuk,1
MoTheComedian,MoTheComedian,1
seasonedbf,seasonedbf,1
yungblud,yungblud,1
iamcardib,iamcardib,1
XBLzzirGrizz,XBLzzirGrizz,1
kfcgaming,kfcgaming,3
amazonmusicuk,amazonmusicuk,1
EggLord6921,EggLord6921,1
musicvenuetrust,musicvenuetrust,1
squaremile_com,squaremile_com,1
